“X”,“Y”,"id","lon","lat","point","polygon","voltage","power_type","substation","osm_id","osm_www","frequency","name","ref","operator","dbahn","status","visible",“field_18”
"12.8405314272815","52.0012876976694","2090","12.8405314272815","52.0012876976694","0101000020E610000046DE9E225AAE29404DB0FD312A004A40","0101000020E610000046DE9E225AAE29404DB0FD312A004A40","110000","substation","NA","n1228124682","http://www.osm.org/node/1228124682","NA","Umspannwerk Feldheim","NA","Energiequelle GmbH","no","3","1",
"8.43787806884899","49.9980548955209","823","8.43787806884899","49.9980548955209","0101000020E610000020AFE28D31E0204003F04743C0FF4840","0101000020E610000020AFE28D31E0204003F04743C0FF4840","110000","station","NA","n1351857191","http://www.osm.org/node/1351857191","NA","NA","NA","NA","no","3","1",
"13.3166320599948","52.4404172942263","2","13.3166320599948","52.4404172942263","0101000020E6100000D815ED981DA22A40C0A509985F384A40","0101000020E6100000D815ED981DA22A40C0A509985F384A40","110000","substation","NA","n2092775605","http://www.osm.org/node/2092775605","50","Umspannwerk Klinikum Steglitz","NA","Klinikum Steglitz","no","3","1",
"13.2637918075099","52.5359964898871","5","13.2637918075099","52.5359964898871","0101000020E6100000736A44B80F872A40036B71889B444A40","0101000020E6100000736A44B80F872A40036B71889B444A40","110000","substation","NA","n2136571952","http://www.osm.org/node/2136571952","50","Umspannwerk Siemens Dynamowerk","NA","Siemens","no","3","1",
"13.1479240478922","52.4181182886916","6","13.1479240478922","52.4181182886916","0101000020E61000006AFA67B3BC4B2A4018E56BE684354A40","0101000020E61000006AFA67B3BC4B2A4018E56BE684354A40","110000","substation","NA","n2138055449","http://www.osm.org/node/2138055449","50","Umspannwerk Wannsee","NA","Vattenfall Europe AG","no","3","1",
"13.2875237701804","52.4513139636131","7","13.2875237701804","52.4513139636131","0101000020E6100000AB7ECB5036932A4026F9ECA7C4394A40","0101000020E6100000AB7ECB5036932A4026F9ECA7C4394A40","110000","sub_station","NA","n2138090713","http://www.osm.org/node/2138090713","50","Umspannwerk FU Thielallee","NA","Freie Universität Berlin","no","3","1",
"13.3693229226479","52.5388233698221","8","13.3693229226479","52.5388233698221","0101000020E610000015DFE4E417BD2A406EDA072AF8444A40","0101000020E610000015DFE4E417BD2A406EDA072AF8444A40","110000","substation","NA","n2515563457","http://www.osm.org/node/2515563457","NA","Umspannwerk Sellerstraße","NA","Vattenfall Europe AG","no","3","1",
"12.8224101622126","52.1535016977493","9","12.8224101622126","52.1535016977493","0101000020E6100000BD33DDF112A5294059DB91F1A5134A40","0101000020E6100000BD33DDF112A5294059DB91F1A5134A40","110000","sub_station","transmission","n3615474287","http://www.osm.org/node/3615474287","NA","Umspannwerk Schlalach","NA","Energiequellen GmbH","no","3","1",
"9.71393232482644","52.3522789017374","3244","9.71393232482644","52.3522789017374","0101000020E6100000A85FA589886D23403B049D79172D4A40","0101000020E6100000A85FA589886D23403B049D79172D4A40","110000","substation","industrial","n503049407","http://www.osm.org/node/503049407","50","NA","VLB","Stadtwerke_Hannover_AG","no","3","1",
"12.0616872250473","50.905095478917","1568","12.0616872250473","50.905095478917","0101000020E61000008351CC77951F284061DA2C2BDA734940","0101000020E61000008351CC77951F284061DA2C2BDA734940","110000","substation","NA","n789439458","http://www.osm.org/node/789439458","50","Umspannwerk Gera Nord","NA","Thüringer_Energienetze","no","3","1",
"9.78151572775425","52.403223911935","3245","9.78151572775425","52.403223911935","0101000020E61000003F0758D422902340F25C55D79C334A40","0101000020E61000003F0758D422902340F25C55D79C334A40","110000","substation","NA","n924018211","http://www.osm.org/node/924018211","50","NA","NA","Stadtwerke_Hannover_AG","no","3","1",
"6.91312757950706","49.2949114994266","1929","6.91312757950706","49.2949114994266","0101000020E6100000E33B8CEA0AA71B4038A0F6A8BFA54840","0103000020E61000000100000007000000FE551A9E34A61B40E66CBB05B6A548403646F7D0ECA61B40DADC449DC5A5484029B451E181A71B4048D737BBD0A548401FEB571FE0A71B40D0050723C8A5484055D4AB724CA71B409EA50C5CBDA54840785AD14EA2A61B40000568AFAEA54840FE551A9E34A61B40E66CBB05B6A54840","110000","substation","NA","w104907160","http://www.osm.org/way/104907160","NA","UA Köllerbach","NA","Energis","no","2","1",
"7.01293142485719","51.463799142042","2444","7.01293142485719","51.463799142042","0101000020E6100000CA683BE53D0D1C40DC7D31C55DBB4940","0103000020E61000000100000005000000DB80A859000D1C400F15BAE260BB49400F67751C6E0D1C40EC20584A62BB49404859ACAF7A0D1C40F402979D5ABB4940F8ABA3620E0D1C40F3C5C44059BB4940DB80A859000D1C400F15BAE260BB4940","110000","substation","distribution","w106742951","http://www.osm.org/way/106742951","NA","NA","NA","NA","no","2","1",
"10.6352476599936","53.7306151287913","3074","10.6352476599936","53.7306151287913","0101000020E6100000DB10692E3F452540890FEACB84DD4A40","0103000020E610000001000000060000001A3060A317452540B7393FA67CDD4A40729B3FEE23452540C1B481C38DDD4A40587A47E76645254016F8D3E28CDD4A404A6ADBC460452540246775A884DD4A406C3C47815A452540FBB687DE7BDD4A401A3060A317452540B7393FA67CDD4A40","110000","substation","distribution","w130714013","http://www.osm.org/way/130714013","50","Umspannwerk Berkenthin","NA","NA","no","1","1",
